,date,review,rating,isEdited,userName,title,developerResponse
0,2024-11-16 17:12:47,"let me tell you why I named this and encouraging app. I am at that age that people overlook. I am the new invisible person in the room. When I began doing these reviews because I felt like I am a pretty even keeled honest person and would give an accurate description. It kind of became life-changing. This comes with the responsibility that I identify with. And I really needed that right now I feel on this app people are seeing me and hearing me, and appreciating my input. So not only am I giving an honest representation of how I see these restaurants but I’m also giving acknowledgment which is something I didn’t realize how badly I needed. It’s been a win-win so when you read my reviews, please know how much I appreciate this appand how responsible I am in my opinions and reviews. I give every place I go to a second chance, and this app gave me mine.",5,False,Salonroxie,Encouraging App,
1,2024-11-13 19:31:04,"I vaguely remember yelp being a positive experience, it’s been many many years since that, at this point. It is absolutely INFURIATING that I cannot read yelp reviews in a browser!  Ridiculous that I need to have the yelp app installed on my phone to access reviews. Don’t get me wrong, I’ve installed, and used the yelp app numerous times on multiple devices and it’s always one of the first apps I uninstall when I need to clean up a device as it serves exactly no purpose. When attempting to review a review in yelp, it’s not possible without the app. Whether I’m using google or chrome or safari, it doesn’t matter, it’s impossible to read a single review in its entirety. Which is beyond dumb! However, when I’m automatically bumped into the App Store as a means to bully and force me into installing the yelp app once again, I remember that yelp itself is a scam and the epitome of a dishonest, manipulative and, shady business!! Which is the only thing about yelp that I appreciate!! Why, because I instantly see one star review after 1 star review, from the endless array of us that are over the questionable business tactics that is the basis of yelp’s shady business model. The deletion of reviews by yelp for whatever reason is unethical, a not uncommon practice of yelp and has been for several years now.

Thank goodness cancel culture is a thing, I cannot wait to watch yelp go up in smoke! Because, it is going to happen!",1,False,S_Mosher,Unreliable Dishonest Shady….  Let’s Cancel Yelp!,
2,2024-10-11 18:43:56,"I will not be using Yelp ever again. After a terrible encounter with a business, I wrote an honest review about my experience. Yelp deleted 3 of my accounts because they would not let me write my review due to the business owner being upset. If I’m not able to be honest about good and bad experiences then what’s the point? Customer service did nothing to help the problem and all of the positive reviews I had wrote for small businesses were also deleted with my accounts. Such a shame. I thought as an app that is centered around honest reviews, they would uphold their end of allowing them, but no, they will side with businesses and delete your Yelp account for using the app as it was intended. Absolutely disgusting. I have moved onto other apps/platforms that respect their user’s honesty and do not punish them for reviews. If a business scams people out of their money, I believe it’s my responsibility to inform people through a public review, so that someone else isn’t a victim to it, but Yelp does not believe in keeping businesses honest. So beware!!! Yelp will delete your account & reviews if you try to warn people about scams!!! Do not use!!!",1,False,jennausuwiajdneka,Horrible,
3,2024-09-22 20:35:32,"During think tank meetings with other business owners in my industry it would be common analogy that yelp is not fair when it comes to their AI platform for reviews.  I believe Yelp as well as Google should have a mediation group that handles complaints between customer and business owner considering it is common business practice to allow customers to post anything whether they were a valid customer or not.  I’ve read the terms conditions all lol allow somebody to voice an opinion whether it be true or not. I think in your own words y’all don’t really decide whether it’s true or not. YET your AI will continuously put five star reviews in not recommended. 

Considering you make money off of each click, search engine, optimization, and so many other things that benefit yelp only that it would seem only fair if you’re gonna play a role in reviews to play a role in mediation. 

I would highly recommend the Yelp educate themselves in the automotive industry as it’s not a restaurant or an ice cream place or some hole in the wall to make famous. It’s as important as looking for the doctor for your surgery.",1,False,Srepman,Is yelp fair?,"{'id': 46973211, 'body': 'Thank you for taking the time to review the Yelp app. You can reach our team directly here for assistance with any questions, comments, or concerns: https://bit.ly/3mOxzpv\n', 'modified': '2024-09-25T00:15:05Z'}"
4,2024-10-24 17:15:35,"Brought my 2023 car, with 15,454 miles, to have my snow tires put on. The tech inspected the snow tires, and said the tread was not sufficient to prevent slipping, and implied I should consider a new set. I said hold on - I bought these from you. He said these are tires made in 2020. Again I said I bought them from you in January of 2023. You put them on. There was never any disclosure that you were selling me for over $5,000 tires that were 3 years old. Further, I was out of the country for about 2 months last winter. It is doubtful that the snow tires have even 5,000 miles on them, and you’re telling me that they are insufficient? I either deserve a substantial credit for new tires, or you should replace them for free. I have been a good customer over the years, bringing at least 5 of my family’s cars for new sets of tires. This is outrageous. After conversation with a hidden manager/shop owner, I was told that they would do nothing for me. These guys are dishonest rip-off artists. I will never do business with them again, and I will warn anyone who will listen to stay away.",1,False,Livid Sr Citizen,"Discount Tire - Plymouth, MN",
5,2024-11-14 15:56:48,"The Yelp app has become a must-have on my phone. Whether I’m looking for a great new restaurant, a local service, or even hidden gems in a city I’m visiting, Yelp has it all. The app makes it easy to browse reviews from real people, and I find that the ratings are consistently accurate and reliable.

One of my favorite features is the search filter. I can narrow down options based on location, price, and even specific amenities, which saves a lot of time. Plus, the photos uploaded by users give an honest look at what to expect, especially for restaurants.

I also love the ability to bookmark places. When friends recommend spots or I find something that looks interesting, I can save it for later. It’s been a lifesaver when I’m out and need a last-minute recommendation!

The community vibe on Yelp is awesome. The detailed reviews and tips from others help me make informed decisions, and I appreciate the transparency in feedback—both the good and the not-so-good. It feels like having a network of locals wherever I go.

Yelp has really enhanced my experiences, helping me discover great businesses and avoid ones that might not fit my needs. Highly recommend it to anyone who loves exploring new spots!",5,False,#GetYourBrandOn,"My Go-To for Honest, Reliable Reviews!",
6,2024-07-27 04:34:11,"Yelp will track you and get all your info including your financial and basically all of any info they can get from you and horribly they do not give accurate reviews because if they don’t like your review they will take it down because the businesses are allowed to buy a 5 stars from yelp.
 I did not know this til now after years of having yelp. But i seen where they took my review down on a restaurant that misused their very small children as slave labor and the dad was a flirt n was arrested for sexual assault charges while we were there but the guy n his wife with several young children got my honest review taken down. The portions were very small and overpriced n the parents stood around which is not right while the young home schooled kids were literally sweating and told to get back to the kitchen. The little ones were hugging us and acted as if they wanted to leave with people rather than stay there at the restaurant. 
A very young boy around 6 to 8 with sweat dripping down his face n his hair was soaked n couldn’t even take a break. i’m sorry but that is something that should be shared with others. 
So i am deleting yelp now that i read that the businesses can do this buy out and at the same time they cheat you, they take all of your info. 

please leave my info alone especially since i have been lied to and cheated. I believe in being on the up and up morally and righteously. This is neither moral nor righteous.",1,False,Fancy4Yahshua,track you vigorously and give 5 stars falsely,
7,2023-04-08 01:07:38,"UPDATE: I came to complain about how I can never view anything on Yelp, but it looks like I already did. Why can I not read any reviews or do anything? It’s not even a new app, they should have these things figured out by now……….

Old review: I really don’t like how Yelp controls viewing ability of reviews. I’ll click on a review (wherever, whenever) and instead of showing me the review I clicked on, it will take me to the Yelp homepage or app. This has been happening for years and I’m finally letting them know. PLEASE FIX THIS! Because this completely ruins the point of reviews if you can’t read them. I’ve literally never been able to read a full Yelp review, they just show me the first sentence to peak my curiosity, and then I click to read it and it takes me to the Yelp homepage even thought I downloaded the app. Anytime I click anything it take me to the homepage for that matter. How do people use Yelp? It always, always pops up in internet searches; are people actually using it??????",1,True,Lemon taffy,"Can’t read reviews, very disorganized","{'id': 31625891, 'body': ""We're sorry you're having trouble with the app! If you are continuing to encounter these issues, please let us know by reporting it here so we can assist you further: bit.ly/2fe0miu \n"", 'modified': '2022-08-23T20:01:42Z'}"
8,2022-04-24 20:52:53,We are new to the area and have been trying new places and decided to give them a try. Ordered through Yelp and as we were driving there it showed are order was ready. We arrived and it was not and there was a long line and they were busy with only one person at the counter. When I asked about our order they first said they didn’t have it. Then after a while and they said they found it but it wasn’t all ready. The first thing that they gave us was a cold item that ended up being soggy by the time the rest of the order was done. Then after proceeding to tell us they were working on our order 4 other groups of people ordered and their food was brought out before they finished our order! When I brought it to their attention they said nothing. The one order had clearly been sitting around a while before they made the other one because it was cold. They just handed it to us and said nothing and didn’t try to remedy what happened. Worst customer service ever.,1,False,Rikki Ray,Worst Customer Service Ever!,"{'id': 29537949, 'body': 'Hello, thank you for taking the time to review the Yelp app. We want everyone who orders food through Yelp to have a great experience. If you have any questions or concerns about an order you placed through Yelp, please let us know by contacting our Support team here: https://bit.ly/2WuzDnl\n', 'modified': '2022-05-03T17:36:45Z'}"
9,2022-04-12 16:43:31,"Yelp is a tremendous help for people who need to find their way around town. Reviews can also change though in a heartbeat when there is a new owner, chef, assistant, hairstylist, etc. If it’s the same cast, there may be consistency but you have to keep in mind that there could have been a recent life change to your favorite person or company too with a milestone event occurrence (ie. Got married, had baby, went to school, someone died, partied the night before, medication after effects) and it impacted their mentality to operate normally. That’s the risk you take but generally it’s a wonderful resource to pinpoint the best place to eat, drink, and be merry with an oil change and:or get those fancy nails done…the whole shabang!!! Enjoy but please don’t take me word for word on my review.",5,False,Joyfulclient5,Great way to find some POPular places!,
